model,method,budget,task,Task Type,Eval metric,Avg len,Language,performance
Qwen3-4B-Instruct-2507,AKCB,1024,PassageCount,Synthetic,Accuracy,11141,EN,2.71
Qwen3-4B-Instruct-2507,AKCB,1024,PassageRetr.-en,Synthetic,Accuracy,9289,EN,88.0
Qwen3-4B-Instruct-2507,AKCB,1024,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,88.01
Qwen3-4B-Instruct-2507,AKCB,1024,LCC,Code,Edit Sim,1235,Python/C#/Java,64.18
Qwen3-4B-Instruct-2507,AKCB,1024,RepoBench-P,Code,Edit Sim,4206,Python/Java,56.61
Qwen3-4B-Instruct-2507,Quant,1024,NarrativeQA,Single-doc QA,F1,18409,EN,3.32
Qwen3-4B-Instruct-2507,Quant,1024,Qasper,Single-doc QA,F1,3619,EN,5.48
Qwen3-4B-Instruct-2507,Quant,1024,MultiFieldQA-en,Single-doc QA,F1,4559,EN,11.49
Qwen3-4B-Instruct-2507,Quant,1024,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,7.43
Qwen3-4B-Instruct-2507,Quant,1024,HotpotQA,Multi-doc QA,F1,9151,EN,10.1
Qwen3-4B-Instruct-2507,Quant,1024,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,9.92
Qwen3-4B-Instruct-2507,Quant,1024,MuSiQue,Multi-doc QA,F1,11214,EN,2.8
Qwen3-4B-Instruct-2507,Quant,1024,DuReader,Multi-doc QA,Rouge-L,15768,ZH,6.66
Qwen3-4B-Instruct-2507,Quant,1024,GovReport,Summarization,Rouge-L,8734,EN,2.22
Qwen3-4B-Instruct-2507,Quant,1024,QMSum,Summarization,Rouge-L,10614,EN,17.16
Qwen3-4B-Instruct-2507,Quant,1024,MultiNews,Summarization,Rouge-L,2113,EN,5.69
Qwen3-4B-Instruct-2507,Quant,1024,VCSUM,Summarization,Rouge-L,15380,ZH,2.43
Qwen3-4B-Instruct-2507,Quant,1024,TREC,Few shot,Accuracy,5177,EN,50.0
Qwen3-4B-Instruct-2507,Quant,1024,TriviaQA,Few shot,F1,8209,EN,35.71
Qwen3-4B-Instruct-2507,Quant,1024,SAMSum,Few shot,Rouge-L,6258,EN,16.37
Qwen3-4B-Instruct-2507,Quant,1024,LSHT,Few shot,Accuracy,22337,ZH,21.0
Qwen3-4B-Instruct-2507,Quant,1024,PassageCount,Synthetic,Accuracy,11141,EN,1.09
Qwen3-4B-Instruct-2507,Quant,1024,PassageRetr.-en,Synthetic,Accuracy,9289,EN,50.55
Qwen3-4B-Instruct-2507,Quant,1024,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,9.5
Qwen3-4B-Instruct-2507,Quant,1024,LCC,Code,Edit Sim,1235,Python/C#/Java,18.88
Qwen3-4B-Instruct-2507,Quant,1024,RepoBench-P,Code,Edit Sim,4206,Python/Java,18.97
Qwen3-4B-Instruct-2507,Origin,1024,NarrativeQA,Single-doc QA,F1,18409,EN,19.92
Qwen3-4B-Instruct-2507,Origin,1024,Qasper,Single-doc QA,F1,3619,EN,22.18
Qwen3-4B-Instruct-2507,Origin,1024,MultiFieldQA-en,Single-doc QA,F1,4559,EN,38.2
Qwen3-4B-Instruct-2507,Origin,1024,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,32.8
Qwen3-4B-Instruct-2507,Origin,1024,HotpotQA,Multi-doc QA,F1,9151,EN,15.28
Qwen3-4B-Instruct-2507,Origin,1024,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,12.98
Qwen3-4B-Instruct-2507,Origin,1024,MuSiQue,Multi-doc QA,F1,11214,EN,7.24
Qwen3-4B-Instruct-2507,Origin,1024,DuReader,Multi-doc QA,Rouge-L,15768,ZH,23.47
Qwen3-4B-Instruct-2507,Origin,1024,GovReport,Summarization,Rouge-L,8734,EN,26.59
Qwen3-4B-Instruct-2507,Origin,1024,QMSum,Summarization,Rouge-L,10614,EN,21.07
Qwen3-4B-Instruct-2507,Origin,1024,MultiNews,Summarization,Rouge-L,2113,EN,21.65
Qwen3-4B-Instruct-2507,Origin,1024,VCSUM,Summarization,Rouge-L,15380,ZH,10.51
Qwen3-4B-Instruct-2507,Origin,1024,TREC,Few shot,Accuracy,5177,EN,74.5
Qwen3-4B-Instruct-2507,Origin,1024,TriviaQA,Few shot,F1,8209,EN,87.47
Qwen3-4B-Instruct-2507,Origin,1024,SAMSum,Few shot,Rouge-L,6258,EN,45.23
Qwen3-4B-Instruct-2507,Origin,1024,LSHT,Few shot,Accuracy,22337,ZH,43.5
Qwen3-4B-Instruct-2507,Origin,1024,PassageCount,Synthetic,Accuracy,11141,EN,2.67
Qwen3-4B-Instruct-2507,Origin,1024,PassageRetr.-en,Synthetic,Accuracy,9289,EN,86.75
Qwen3-4B-Instruct-2507,Origin,1024,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,88.5
Qwen3-4B-Instruct-2507,Origin,1024,LCC,Code,Edit Sim,1235,Python/C#/Java,64.38
Qwen3-4B-Instruct-2507,Origin,1024,RepoBench-P,Code,Edit Sim,4206,Python/Java,56.78
Qwen3-4B-Instruct-2507,AKCB,2048,NarrativeQA,Single-doc QA,F1,18409,EN,18.89
Qwen3-4B-Instruct-2507,AKCB,2048,Qasper,Single-doc QA,F1,3619,EN,25.73
Qwen3-4B-Instruct-2507,AKCB,2048,MultiFieldQA-en,Single-doc QA,F1,4559,EN,39.56
Qwen3-4B-Instruct-2507,AKCB,2048,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,33.92
Qwen3-4B-Instruct-2507,AKCB,2048,HotpotQA,Multi-doc QA,F1,9151,EN,15.71
Qwen3-4B-Instruct-2507,AKCB,2048,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,14.2
Qwen3-4B-Instruct-2507,AKCB,2048,MuSiQue,Multi-doc QA,F1,11214,EN,8.51
Qwen3-4B-Instruct-2507,AKCB,2048,DuReader,Multi-doc QA,Rouge-L,15768,ZH,24.59
Qwen3-4B-Instruct-2507,AKCB,2048,GovReport,Summarization,Rouge-L,8734,EN,26.97
Qwen3-4B-Instruct-2507,AKCB,2048,QMSum,Summarization,Rouge-L,10614,EN,21.33
Qwen3-4B-Instruct-2507,AKCB,2048,MultiNews,Summarization,Rouge-L,2113,EN,21.97
Qwen3-4B-Instruct-2507,AKCB,2048,VCSUM,Summarization,Rouge-L,15380,ZH,10.71
Qwen3-4B-Instruct-2507,AKCB,2048,TREC,Few shot,Accuracy,5177,EN,74.5
Qwen3-4B-Instruct-2507,AKCB,2048,TriviaQA,Few shot,F1,8209,EN,87.89
Qwen3-4B-Instruct-2507,AKCB,2048,SAMSum,Few shot,Rouge-L,6258,EN,45.14
Qwen3-4B-Instruct-2507,AKCB,2048,LSHT,Few shot,Accuracy,22337,ZH,43.5
Qwen3-4B-Instruct-2507,AKCB,2048,PassageCount,Synthetic,Accuracy,11141,EN,2.49
Qwen3-4B-Instruct-2507,AKCB,2048,PassageRetr.-en,Synthetic,Accuracy,9289,EN,88.5
Qwen3-4B-Instruct-2507,AKCB,2048,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,89.92
Qwen3-4B-Instruct-2507,AKCB,2048,LCC,Code,Edit Sim,1235,Python/C#/Java,64.12
Qwen3-4B-Instruct-2507,AKCB,2048,RepoBench-P,Code,Edit Sim,4206,Python/Java,56.63
Qwen3-4B-Instruct-2507,Quant,2048,NarrativeQA,Single-doc QA,F1,18409,EN,3.32
Qwen3-4B-Instruct-2507,Quant,2048,Qasper,Single-doc QA,F1,3619,EN,5.48
Qwen3-4B-Instruct-2507,Quant,2048,MultiFieldQA-en,Single-doc QA,F1,4559,EN,13.76
Qwen3-4B-Instruct-2507,Quant,2048,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,12.07
Qwen3-4B-Instruct-2507,Quant,2048,HotpotQA,Multi-doc QA,F1,9151,EN,10.14
Qwen3-4B-Instruct-2507,Quant,2048,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,9.84
Qwen3-4B-Instruct-2507,Quant,2048,MuSiQue,Multi-doc QA,F1,11214,EN,2.8
Qwen3-4B-Instruct-2507,Quant,2048,DuReader,Multi-doc QA,Rouge-L,15768,ZH,6.66
Qwen3-4B-Instruct-2507,Quant,2048,GovReport,Summarization,Rouge-L,8734,EN,2.22
Qwen3-4B-Instruct-2507,Quant,2048,QMSum,Summarization,Rouge-L,10614,EN,17.16
Qwen3-4B-Instruct-2507,Quant,2048,MultiNews,Summarization,Rouge-L,2113,EN,12.61
Qwen3-4B-Instruct-2507,Quant,2048,VCSUM,Summarization,Rouge-L,15380,ZH,2.54
Qwen3-4B-Instruct-2507,Quant,2048,TREC,Few shot,Accuracy,5177,EN,50.0
Qwen3-4B-Instruct-2507,Quant,2048,TriviaQA,Few shot,F1,8209,EN,35.51
Qwen3-4B-Instruct-2507,Quant,2048,SAMSum,Few shot,Rouge-L,6258,EN,17.08
Qwen3-4B-Instruct-2507,Quant,2048,LSHT,Few shot,Accuracy,22337,ZH,21.0
Qwen3-4B-Instruct-2507,Quant,2048,PassageCount,Synthetic,Accuracy,11141,EN,1.09
Qwen3-4B-Instruct-2507,Quant,2048,PassageRetr.-en,Synthetic,Accuracy,9289,EN,50.55
Qwen3-4B-Instruct-2507,Quant,2048,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,9.5
Qwen3-4B-Instruct-2507,Quant,2048,LCC,Code,Edit Sim,1235,Python/C#/Java,36.01
Qwen3-4B-Instruct-2507,Quant,2048,RepoBench-P,Code,Edit Sim,4206,Python/Java,18.97
Qwen3-4B-Instruct-2507,Origin,2048,NarrativeQA,Single-doc QA,F1,18409,EN,19.5
Qwen3-4B-Instruct-2507,Origin,2048,Qasper,Single-doc QA,F1,3619,EN,25.14
Qwen3-4B-Instruct-2507,Origin,2048,MultiFieldQA-en,Single-doc QA,F1,4559,EN,39.41
Qwen3-4B-Instruct-2507,Origin,2048,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,34.79
Qwen3-4B-Instruct-2507,Origin,2048,HotpotQA,Multi-doc QA,F1,9151,EN,15.49
Qwen3-4B-Instruct-2507,Origin,2048,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,13.93
Qwen3-4B-Instruct-2507,Origin,2048,MuSiQue,Multi-doc QA,F1,11214,EN,7.45
Qwen3-4B-Instruct-2507,Origin,2048,DuReader,Multi-doc QA,Rouge-L,15768,ZH,25.55
Qwen3-4B-Instruct-2507,Origin,2048,GovReport,Summarization,Rouge-L,8734,EN,27.42
Qwen3-4B-Instruct-2507,Origin,2048,QMSum,Summarization,Rouge-L,10614,EN,21.01
Qwen3-4B-Instruct-2507,Origin,2048,MultiNews,Summarization,Rouge-L,2113,EN,21.98
Qwen3-4B-Instruct-2507,Origin,2048,VCSUM,Summarization,Rouge-L,15380,ZH,10.86
Qwen3-4B-Instruct-2507,Origin,2048,TREC,Few shot,Accuracy,5177,EN,74.5
Qwen3-4B-Instruct-2507,Origin,2048,TriviaQA,Few shot,F1,8209,EN,87.24
Qwen3-4B-Instruct-2507,Origin,2048,SAMSum,Few shot,Rouge-L,6258,EN,45.46
Qwen3-4B-Instruct-2507,Origin,2048,LSHT,Few shot,Accuracy,22337,ZH,43.5
Qwen3-4B-Instruct-2507,Origin,2048,PassageCount,Synthetic,Accuracy,11141,EN,2.4
Qwen3-4B-Instruct-2507,Origin,2048,PassageRetr.-en,Synthetic,Accuracy,9289,EN,87.92
Qwen3-4B-Instruct-2507,Origin,2048,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,89.08
Qwen3-4B-Instruct-2507,Origin,2048,LCC,Code,Edit Sim,1235,Python/C#/Java,64.26
Qwen3-4B-Instruct-2507,Origin,2048,RepoBench-P,Code,Edit Sim,4206,Python/Java,56.72
Qwen3-8B,Base,,NarrativeQA,Single-doc QA,F1,18409,EN,3.6
Qwen3-8B,Base,,Qasper,Single-doc QA,F1,3619,EN,11.48
Qwen3-8B,Base,,MultiFieldQA-en,Single-doc QA,F1,4559,EN,26.91
Qwen3-8B,Base,,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,20.61
Qwen3-8B,Base,,HotpotQA,Multi-doc QA,F1,9151,EN,12.76
Qwen3-8B,Base,,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,12.96
Qwen3-8B,Base,,MuSiQue,Multi-doc QA,F1,11214,EN,7.51
Qwen3-8B,Base,,DuReader,Multi-doc QA,Rouge-L,15768,ZH,22.95
Qwen3-8B,Base,,GovReport,Summarization,Rouge-L,8734,EN,29.62
Qwen3-8B,Base,,QMSum,Summarization,Rouge-L,10614,EN,21.04
Qwen3-8B,Base,,MultiNews,Summarization,Rouge-L,2113,EN,22.98
Qwen3-8B,Base,,VCSUM,Summarization,Rouge-L,15380,ZH,14.29
Qwen3-8B,Base,,TREC,Few shot,Accuracy,5177,EN,71.5
Qwen3-8B,Base,,TriviaQA,Few shot,F1,8209,EN,90.71
Qwen3-8B,Base,,SAMSum,Few shot,Rouge-L,6258,EN,44.1
Qwen3-8B,Base,,LSHT,Few shot,Accuracy,22337,ZH,47.5
Qwen3-8B,Base,,PassageCount,Synthetic,Accuracy,11141,EN,6.83
Qwen3-8B,Base,,PassageRetr.-en,Synthetic,Accuracy,9289,EN,95.37
Qwen3-8B,Base,,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,97.6
Qwen3-8B,Base,,LCC,Code,Edit Sim,1235,Python/C#/Java,68.72
Qwen3-8B,Base,,RepoBench-P,Code,Edit Sim,4206,Python/Java,65.43
Qwen3-8B,AKCB,512,NarrativeQA,Single-doc QA,F1,18409,EN,3.5
Qwen3-8B,AKCB,512,Qasper,Single-doc QA,F1,3619,EN,8.93
Qwen3-8B,AKCB,512,MultiFieldQA-en,Single-doc QA,F1,4559,EN,24.02
Qwen3-8B,AKCB,512,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,18.59
Qwen3-8B,AKCB,512,HotpotQA,Multi-doc QA,F1,9151,EN,12.37
Qwen3-8B,AKCB,512,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,11.7
Qwen3-8B,AKCB,512,MuSiQue,Multi-doc QA,F1,11214,EN,6.41
Qwen3-8B,AKCB,512,DuReader,Multi-doc QA,Rouge-L,15768,ZH,18.5
Qwen3-8B,AKCB,512,GovReport,Summarization,Rouge-L,8734,EN,23.43
Qwen3-8B,AKCB,512,QMSum,Summarization,Rouge-L,10614,EN,19.65
Qwen3-8B,AKCB,512,MultiNews,Summarization,Rouge-L,2113,EN,20.56
Qwen3-8B,AKCB,512,VCSUM,Summarization,Rouge-L,15380,ZH,12.76
Qwen3-8B,AKCB,512,TREC,Few shot,Accuracy,5177,EN,71.5
Qwen3-8B,AKCB,512,TriviaQA,Few shot,F1,8209,EN,90.55
Qwen3-8B,AKCB,512,SAMSum,Few shot,Rouge-L,6258,EN,43.47
Qwen3-8B,AKCB,512,LSHT,Few shot,Accuracy,22337,ZH,47.5
Qwen3-8B,AKCB,512,PassageCount,Synthetic,Accuracy,11141,EN,7.61
Qwen3-8B,AKCB,512,PassageRetr.-en,Synthetic,Accuracy,9289,EN,92.46
Qwen3-8B,AKCB,512,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,97.12
Qwen3-8B,AKCB,512,LCC,Code,Edit Sim,1235,Python/C#/Java,66.99
Qwen3-8B,AKCB,512,RepoBench-P,Code,Edit Sim,4206,Python/Java,62.3
Qwen3-8B,Quant,512,NarrativeQA,Single-doc QA,F1,18409,EN,2.05
Qwen3-8B,Quant,512,Qasper,Single-doc QA,F1,3619,EN,3.19
Qwen3-8B,Quant,512,MultiFieldQA-en,Single-doc QA,F1,4559,EN,10.88
Qwen3-8B,Quant,512,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,7.01
Qwen3-8B,Quant,512,HotpotQA,Multi-doc QA,F1,9151,EN,10.25
Qwen3-8B,Quant,512,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,8.71
Qwen3-8B,Quant,512,MuSiQue,Multi-doc QA,F1,11214,EN,3.4
Qwen3-8B,Quant,512,DuReader,Multi-doc QA,Rouge-L,15768,ZH,13.81
Qwen3-8B,Quant,512,GovReport,Summarization,Rouge-L,8734,EN,1.61
Qwen3-8B,Quant,512,QMSum,Summarization,Rouge-L,10614,EN,16.85
Qwen3-8B,Quant,512,MultiNews,Summarization,Rouge-L,2113,EN,0.97
Qwen3-8B,Quant,512,VCSUM,Summarization,Rouge-L,15380,ZH,3.26
Qwen3-8B,Quant,512,TREC,Few shot,Accuracy,5177,EN,50.5
Qwen3-8B,Quant,512,TriviaQA,Few shot,F1,8209,EN,54.01
Qwen3-8B,Quant,512,SAMSum,Few shot,Rouge-L,6258,EN,17.95
Qwen3-8B,Quant,512,LSHT,Few shot,Accuracy,22337,ZH,18.5
Qwen3-8B,Quant,512,PassageCount,Synthetic,Accuracy,11141,EN,7.08
Qwen3-8B,Quant,512,PassageRetr.-en,Synthetic,Accuracy,9289,EN,75.14
Qwen3-8B,Quant,512,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,9.33
Qwen3-8B,Quant,512,LCC,Code,Edit Sim,1235,Python/C#/Java,28.75
Qwen3-8B,Quant,512,RepoBench-P,Code,Edit Sim,4206,Python/Java,28.21
Qwen3-8B,Origin,512,NarrativeQA,Single-doc QA,F1,18409,EN,3.73
Qwen3-8B,Origin,512,Qasper,Single-doc QA,F1,3619,EN,9.59
Qwen3-8B,Origin,512,MultiFieldQA-en,Single-doc QA,F1,4559,EN,24.13
Qwen3-8B,Origin,512,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,19.44
Qwen3-8B,Origin,512,HotpotQA,Multi-doc QA,F1,9151,EN,12.07
Qwen3-8B,Origin,512,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,11.81
Qwen3-8B,Origin,512,MuSiQue,Multi-doc QA,F1,11214,EN,6.9
Qwen3-8B,Origin,512,DuReader,Multi-doc QA,Rouge-L,15768,ZH,18.76
Qwen3-8B,Origin,512,GovReport,Summarization,Rouge-L,8734,EN,24.17
Qwen3-8B,Origin,512,QMSum,Summarization,Rouge-L,10614,EN,21.13
Qwen3-8B,Origin,512,MultiNews,Summarization,Rouge-L,2113,EN,20.03
Qwen3-8B,Origin,512,VCSUM,Summarization,Rouge-L,15380,ZH,13.75
Qwen3-8B,Origin,512,TREC,Few shot,Accuracy,5177,EN,71.5
Qwen3-8B,Origin,512,TriviaQA,Few shot,F1,8209,EN,90.71
Qwen3-8B,Origin,512,SAMSum,Few shot,Rouge-L,6258,EN,44.49
Qwen3-8B,Origin,512,LSHT,Few shot,Accuracy,22337,ZH,47.5
Qwen3-8B,Origin,512,PassageCount,Synthetic,Accuracy,11141,EN,6.68
Qwen3-8B,Origin,512,PassageRetr.-en,Synthetic,Accuracy,9289,EN,96.33
Qwen3-8B,Origin,512,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,97.1
Qwen3-8B,Origin,512,LCC,Code,Edit Sim,1235,Python/C#/Java,68.58
Qwen3-8B,Origin,512,RepoBench-P,Code,Edit Sim,4206,Python/Java,65.07
Qwen3-8B,AKCB,1024,NarrativeQA,Single-doc QA,F1,18409,EN,3.52
Qwen3-8B,AKCB,1024,Qasper,Single-doc QA,F1,3619,EN,9.84
Qwen3-8B,AKCB,1024,MultiFieldQA-en,Single-doc QA,F1,4559,EN,24.63
Qwen3-8B,AKCB,1024,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,19.63
Qwen3-8B,AKCB,1024,HotpotQA,Multi-doc QA,F1,9151,EN,12.31
Qwen3-8B,AKCB,1024,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,12.25
Qwen3-8B,AKCB,1024,MuSiQue,Multi-doc QA,F1,11214,EN,6.52
Qwen3-8B,AKCB,1024,DuReader,Multi-doc QA,Rouge-L,15768,ZH,19.23
Qwen3-8B,AKCB,1024,GovReport,Summarization,Rouge-L,8734,EN,25.89
Qwen3-8B,AKCB,1024,QMSum,Summarization,Rouge-L,10614,EN,20.02
Qwen3-8B,AKCB,1024,MultiNews,Summarization,Rouge-L,2113,EN,21.73
Qwen3-8B,AKCB,1024,VCSUM,Summarization,Rouge-L,15380,ZH,13.26
Qwen3-8B,AKCB,1024,TREC,Few shot,Accuracy,5177,EN,71.5
Qwen3-8B,AKCB,1024,TriviaQA,Few shot,F1,8209,EN,90.55
Qwen3-8B,AKCB,1024,SAMSum,Few shot,Rouge-L,6258,EN,44.33
Qwen3-8B,AKCB,1024,LSHT,Few shot,Accuracy,22337,ZH,47.5
Qwen3-8B,AKCB,1024,PassageCount,Synthetic,Accuracy,11141,EN,7.8
Qwen3-8B,AKCB,1024,PassageRetr.-en,Synthetic,Accuracy,9289,EN,93.87
Qwen3-8B,AKCB,1024,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,97.1
Qwen3-8B,AKCB,1024,LCC,Code,Edit Sim,1235,Python/C#/Java,68.37
Qwen3-8B,AKCB,1024,RepoBench-P,Code,Edit Sim,4206,Python/Java,64.27
Qwen3-8B,Quant,1024,NarrativeQA,Single-doc QA,F1,18409,EN,2.05
Qwen3-8B,Quant,1024,Qasper,Single-doc QA,F1,3619,EN,3.19
Qwen3-8B,Quant,1024,MultiFieldQA-en,Single-doc QA,F1,4559,EN,10.88
Qwen3-8B,Quant,1024,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,7.15
Qwen3-8B,Quant,1024,HotpotQA,Multi-doc QA,F1,9151,EN,10.25
Qwen3-8B,Quant,1024,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,8.71
Qwen3-8B,Quant,1024,MuSiQue,Multi-doc QA,F1,11214,EN,3.4
Qwen3-8B,Quant,1024,DuReader,Multi-doc QA,Rouge-L,15768,ZH,13.81
Qwen3-8B,Quant,1024,GovReport,Summarization,Rouge-L,8734,EN,1.54
Qwen3-8B,Quant,1024,QMSum,Summarization,Rouge-L,10614,EN,16.79
Qwen3-8B,Quant,1024,MultiNews,Summarization,Rouge-L,2113,EN,2.99
Qwen3-8B,Quant,1024,VCSUM,Summarization,Rouge-L,15380,ZH,1.35
Qwen3-8B,Quant,1024,TREC,Few shot,Accuracy,5177,EN,50.5
Qwen3-8B,Quant,1024,TriviaQA,Few shot,F1,8209,EN,54.01
Qwen3-8B,Quant,1024,SAMSum,Few shot,Rouge-L,6258,EN,17.95
Qwen3-8B,Quant,1024,LSHT,Few shot,Accuracy,22337,ZH,18.5
Qwen3-8B,Quant,1024,PassageCount,Synthetic,Accuracy,11141,EN,7.08
Qwen3-8B,Quant,1024,PassageRetr.-en,Synthetic,Accuracy,9289,EN,75.14
Qwen3-8B,Quant,1024,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,9.33
Qwen3-8B,Quant,1024,LCC,Code,Edit Sim,1235,Python/C#/Java,29.1
Qwen3-8B,Quant,1024,RepoBench-P,Code,Edit Sim,4206,Python/Java,28.21
Qwen3-8B,Origin,1024,NarrativeQA,Single-doc QA,F1,18409,EN,3.77
Qwen3-8B,Origin,1024,Qasper,Single-doc QA,F1,3619,EN,9.95
Qwen3-8B,Origin,1024,MultiFieldQA-en,Single-doc QA,F1,4559,EN,24.91
Qwen3-8B,Origin,1024,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,20.05
Qwen3-8B,Origin,1024,HotpotQA,Multi-doc QA,F1,9151,EN,12.24
Qwen3-8B,Origin,1024,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,12.19
Qwen3-8B,Origin,1024,MuSiQue,Multi-doc QA,F1,11214,EN,7.02
Qwen3-8B,Origin,1024,DuReader,Multi-doc QA,Rouge-L,15768,ZH,19.31
Qwen3-8B,Origin,1024,GovReport,Summarization,Rouge-L,8734,EN,26.41
Qwen3-8B,Origin,1024,QMSum,Summarization,Rouge-L,10614,EN,21.45
Qwen3-8B,Origin,1024,MultiNews,Summarization,Rouge-L,2113,EN,21.98
Qwen3-8B,Origin,1024,VCSUM,Summarization,Rouge-L,15380,ZH,14.02
Qwen3-8B,Origin,1024,TREC,Few shot,Accuracy,5177,EN,71.5
Qwen3-8B,Origin,1024,TriviaQA,Few shot,F1,8209,EN,90.71
Qwen3-8B,Origin,1024,SAMSum,Few shot,Rouge-L,6258,EN,44.27
Qwen3-8B,Origin,1024,LSHT,Few shot,Accuracy,22337,ZH,47.5
Qwen3-8B,Origin,1024,PassageCount,Synthetic,Accuracy,11141,EN,7.68
Qwen3-8B,Origin,1024,PassageRetr.-en,Synthetic,Accuracy,9289,EN,95.96
Qwen3-8B,Origin,1024,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,97.1
Qwen3-8B,Origin,1024,LCC,Code,Edit Sim,1235,Python/C#/Java,68.68
Qwen3-8B,Origin,1024,RepoBench-P,Code,Edit Sim,4206,Python/Java,65.02
Qwen3-8B,AKCB,2048,NarrativeQA,Single-doc QA,F1,18409,EN,3.59
Qwen3-8B,AKCB,2048,Qasper,Single-doc QA,F1,3619,EN,10.82
Qwen3-8B,AKCB,2048,MultiFieldQA-en,Single-doc QA,F1,4559,EN,26.0
Qwen3-8B,AKCB,2048,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,20.46
Qwen3-8B,AKCB,2048,HotpotQA,Multi-doc QA,F1,9151,EN,12.83
Qwen3-8B,AKCB,2048,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,12.39
Qwen3-8B,AKCB,2048,MuSiQue,Multi-doc QA,F1,11214,EN,7.21
Qwen3-8B,AKCB,2048,DuReader,Multi-doc QA,Rouge-L,15768,ZH,20.37
Qwen3-8B,AKCB,2048,GovReport,Summarization,Rouge-L,8734,EN,27.75
Qwen3-8B,AKCB,2048,QMSum,Summarization,Rouge-L,10614,EN,20.92
Qwen3-8B,AKCB,2048,MultiNews,Summarization,Rouge-L,2113,EN,22.81
Qwen3-8B,AKCB,2048,VCSUM,Summarization,Rouge-L,15380,ZH,13.61
Qwen3-8B,AKCB,2048,TREC,Few shot,Accuracy,5177,EN,71.5
Qwen3-8B,AKCB,2048,TriviaQA,Few shot,F1,8209,EN,90.55
Qwen3-8B,AKCB,2048,SAMSum,Few shot,Rouge-L,6258,EN,44.79
Qwen3-8B,AKCB,2048,LSHT,Few shot,Accuracy,22337,ZH,47.5
Qwen3-8B,AKCB,2048,PassageCount,Synthetic,Accuracy,11141,EN,7.53
Qwen3-8B,AKCB,2048,PassageRetr.-en,Synthetic,Accuracy,9289,EN,95.5
Qwen3-8B,AKCB,2048,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,97.6
Qwen3-8B,AKCB,2048,LCC,Code,Edit Sim,1235,Python/C#/Java,68.55
Qwen3-8B,AKCB,2048,RepoBench-P,Code,Edit Sim,4206,Python/Java,64.62
Qwen3-8B,Quant,2048,NarrativeQA,Single-doc QA,F1,18409,EN,2.05
Qwen3-8B,Quant,2048,Qasper,Single-doc QA,F1,3619,EN,3.19
Qwen3-8B,Quant,2048,MultiFieldQA-en,Single-doc QA,F1,4559,EN,12.0
Qwen3-8B,Quant,2048,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,8.58
Qwen3-8B,Quant,2048,HotpotQA,Multi-doc QA,F1,9151,EN,10.25
Qwen3-8B,Quant,2048,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,8.36
Qwen3-8B,Quant,2048,MuSiQue,Multi-doc QA,F1,11214,EN,3.4
Qwen3-8B,Quant,2048,DuReader,Multi-doc QA,Rouge-L,15768,ZH,13.81
Qwen3-8B,Quant,2048,GovReport,Summarization,Rouge-L,8734,EN,1.54
Qwen3-8B,Quant,2048,QMSum,Summarization,Rouge-L,10614,EN,16.79
Qwen3-8B,Quant,2048,MultiNews,Summarization,Rouge-L,2113,EN,11.51
